Textgrid-Id	Gattung(en)
kq01.0	Drama
rkpt.0	Drama
swzc.0	Drama
pb6v.0	Drama
qkm4.0	Drama
tgwk.0	Drama
kp19.0	Drama
vpvx.0	Drama
qdm9.0	Drama
tbqn.0	Drama
tvb0.0	Drama
scbm.0	Drama
vmht.0	Drama
t4rs.0	Drama
sc8q.0	Drama
vn7q.0	Drama
rhqt.0	Drama
11fg5.0	Drama
p7hs.0	Drama
wzps.0	Drama
qkkz.0	Drama
rfd8.0	Drama
qm9d.0	Drama
r0n2.0	Drama
mjbp.0	Drama
vn5n.0	Drama
tg23.0	Drama
pvxk.0	Drama
kmdw.0	Drama
t969.0	Drama
rjqs.0	Drama
t4rw.0	Drama
kqwr.0	Drama
r10b.0	Drama
r12n.0	Drama
wd1q.0	Drama
rdgt.0	Drama
v3tw.0	Drama
v0hv.0	Drama
11dtg.0	Drama
11gx9.0	Drama
11hb5.0	Drama
jnj6.0	Drama
v3w3.0	Drama
p5c8.0	Drama
wd6t.0	Drama
r0vx.0	Drama
vndf.0	Drama
pjw6.0	Drama
w3sp.0	Drama
tvgd.0	Drama
rdhd.0	Drama
rm3n.0	Drama
w3vm.0	Drama
nv2j.0	Drama
11gn9.0	Drama
nmfg.0	Drama
pkgw.0	Drama
k93v.0	Drama
wzpd.0	Drama
pn22.0	Drama
r13g.0	Drama
qfx0.0	Drama
qhpn.0	Drama
pj21.0	Drama
tvbg.0	Drama
s4m2.0	Drama
qhwd.0	Drama
wz12.0	Drama
sjpt.0	Drama
qn29.0	Drama
11hdv.0	Drama
rfcn.0	Drama
kjfc.0	Drama
r12k.0	Drama
kmfh.0	Drama
t9ph.0	Drama
wzpp.0	Drama
k942.0	Drama
vn1q.0	Drama
vn0r.0	Drama
pkhg.0	Drama
x3cm.0	Drama
11d2m.0	Drama
vmm5.0	Drama
pmp3.0	Drama
qmsf.0	Drama
qh0j.0	Drama
wzq9.0	Drama
vn4q.0	Drama
w3xk.0	Drama
kq1k.0	Drama
ktrm.0	Drama
pb0f.0	Drama
kmpd.0	Drama
scbg.0	Drama
vmhp.0	Drama
mvrf.0	Drama
nds0.0	Drama
s8c4.0	Drama
p5cg.0	Drama
kmdt.0	Drama
qkmx.0	Drama
p8d8.0	Drama
vmxv.0	Drama
k93c.0	Drama
wznq.0	Drama
s8cb.0	Drama
tg9f.0	Drama
x495.0	Drama
x22s.0	Drama
pvqc.0	Drama
pvpw.0	Drama
r2qz.0	Drama
tp8d.0	Drama
tpq5.0	Drama
pvq5.0	Drama
pvq4.0	Drama
r231.0	Drama
k93r.0	Drama
11g5q.0	Drama
txtj.0	Drama
v0nx.0	Drama
vmwh.0	Drama
npm2.0	Drama
x4vh.0	Drama
x4vp.0	Drama
kmqb.0	Drama
k940.0	Drama
vn1b.0	Drama
tz0c.0	Drama
ptkw.0	Drama
kscv.0	Drama
kw94.0	Drama
qz9g.0	Drama
s6kn.0	Drama
p5bz.0	Drama
kmf6.0	Drama
r23w.0	Drama
strp.0	Drama
11d1w.0	Drama
